Sum of active_region,Year,Quarter,Month,Day,class_type,Year,Quarter,Month,Day,Sum of day,Year,Quarter,Month,Day,event_id,event_type,Sum of hour,instruments,Sum of month,note,Year,Quarter,Month,Day,source_location,Sum of year
13397,2023,Qtr 3,August,17,C5.1,2023,Qtr 3,August,17,17,2023,Qtr 3,August,17,2023-08-17T12:14:00-Flr-001,Solar Flare,12,GOES-P: EXIS 1.0-8.0,8,This Flare Is Associated With A Type Ii Radio Burst And Cme.,2023,Qtr 3,August,17,N19W80,2023
13409,2023,Qtr 3,August,18,C1.7,2023,Qtr 3,August,18,18,2023,Qtr 3,August,18,2023-08-18T10:30:00-Flr-001,Solar Flare,10,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,18,N20W36,2023
13409,2023,Qtr 3,August,19,C3.0,2023,Qtr 3,August,18,18,2023,Qtr 3,August,19,2023-08-18T21:17:00-Flr-001,Solar Flare,21,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,19,N21W42,2023
13409,2023,Qtr 3,August,19,C3.7,2023,Qtr 3,August,18,18,2023,Qtr 3,August,19,2023-08-18T19:09:00-Flr-001,Solar Flare,19,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,19,N21W41,2023
13403,2023,Qtr 3,August,21,C3.1,2023,Qtr 3,August,21,21,2023,Qtr 3,August,21,2023-08-21T12:18:00-Flr-001,Solar Flare,12,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,21,N27W78,2023
13415,2023,Qtr 3,August,22,C5.7,2023,Qtr 3,August,21,21,2023,Qtr 3,August,22,2023-08-21T23:47:00-Flr-001,Solar Flare,23,GOES-P: EXIS 1.0-8.0,8,"Source Location Of The Flare Is Approximate, As The Active Region Was On/Just Behind The Limb.",2023,Qtr 3,August,22,S09E90,2023
13405,2023,Qtr 3,August,23,M1.1,2023,Qtr 3,August,22,22,2023,Qtr 3,August,23,2023-08-22T22:35:00-Flr-001,Solar Flare,22,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,23,N09W28,2023
13405,2023,Qtr 3,August,25,B7.6,2023,Qtr 3,August,25,25,2023,Qtr 3,August,25,2023-08-25T11:04:00-Flr-001,Solar Flare,11,GOES-P: EXIS 1.0-8.0,8,"Small Flare On The Nw Portion Of The Disk Best Seen In Sdo Aia 131/304, Associated With Some Filament Ejecta Seen In Sdo Aia 304.",2023,Qtr 3,August,25,N09W67,2023
13405,2023,Qtr 3,August,25,C1.2,2023,Qtr 3,August,25,25,2023,Qtr 3,August,25,2023-08-25T11:11:00-Flr-001,Solar Flare,11,GOES-P: EXIS 1.0-8.0,8,"Small Flare On The Nw Portion Of The Disk Best Seen In Sdo Aia 131/304, Associated With Some Filament Ejecta Seen In Sdo Aia 304.",2023,Qtr 3,August,25,N09W67,2023
0,2023,Qtr 3,August,25,C1.5,2023,Qtr 3,August,24,24,2023,Qtr 3,August,25,2023-08-24T19:23:00-Flr-001,Solar Flare,19,GOES-P: EXIS 1.0-8.0,8,"Flare Beyond Nw Limb, Likely Associated With Ar13403 (~N26W112).",2023,Qtr 3,August,25,N26W90,2023
0,2023,Qtr 3,August,25,C3.0,2023,Qtr 3,August,24,24,2023,Qtr 3,August,25,2023-08-24T19:39:00-Flr-001,Solar Flare,19,GOES-P: EXIS 1.0-8.0,8,"Flare Beyond Nw Limb, Likely Associated With Ar13403 (~N26W112). This Flare Entry Includes Multiple Minor Fluctuations (<.10) In The X-Ray Flux.",2023,Qtr 3,August,25,N26W90,2023
13415,2023,Qtr 3,August,25,M1.4,2023,Qtr 3,August,25,25,2023,Qtr 3,August,25,2023-08-25T00:56:00-Flr-001,Solar Flare,0,GOES-P: EXIS 1.0-8.0,8,Flare Observed On The Se Portion Of The Earth-Facing Disk.,2023,Qtr 3,August,25,S12E50,2023
13405,2023,Qtr 3,August,26,C1.9,2023,Qtr 3,August,26,26,2023,Qtr 3,August,26,2023-08-26T12:44:00-Flr-001,Solar Flare,12,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,26,N10W73,2023
13417,2023,Qtr 3,August,27,M1.1,2023,Qtr 3,August,26,26,2023,Qtr 3,August,27,2023-08-26T22:05:00-Flr-001,Solar Flare,22,GOES-P: EXIS 1.0-8.0,8,"At The Time Of The Flare, The Associated Active Region Was On The East Limb And Therefore Unnumbered. This Region Has Since Been Numbered As Active Region 13417.",2023,Qtr 3,August,27,S05E90,2023
0,2023,Qtr 3,August,31,C2.4,2023,Qtr 3,August,31,31,2023,Qtr 3,August,31,2023-08-31T04:51:00-Flr-001,Solar Flare,4,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,31,N17W49,2023
